江西联通线路,#genre#
内蒙古卫视,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227057/10000100000000060000000000571275_0.smil
西藏卫视,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227054/10000100000000060000000000571278_0.smil
兵团卫视,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227053/10000100000000060000000000571279_0.smil


CCTV-1标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226943/10000100000000060000000000525020_0.smil
CCTV-2标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227087/10000100000000060000000000572204_0.smil
CCTV-4标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226955/10000100000000060000000000527316_0.smil
CCTV-7标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226958/10000100000000060000000000527319_0.smil
CCTV-9标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226984/10000100000000060000000000568689_0.smil
CCTV-10标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226986/10000100000000060000000000568543_0.smil
CCTV-11标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226941/10000100000000060000000000525012_0.smil
CCTV-12标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226983/10000100000000060000000000568690_0.smil
CCTV-13标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226982/10000100000000060000000000568691_0.smil
CCTV-14标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226981/10000100000000060000000000568692_0.smil
CCTV-15标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226980/10000100000000060000000000568693_0.smil
CCTV-17标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226978/10000100000000060000000000568695_0.smil
江西卫视标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226944/10000100000000060000000000525019_0.smil
江西三套标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226950/10000100000000060000000000527277_0.smil
江西四套标清,rtsp://171.35.195.54:554/PLTV/88888888/224/3221226949/10000100000000060000000000527278_0.smil
江西五套标清,rtsp://171.35.195.55:554/PLTV/88888888/224/3221226948/10000100000000060000000000527279_0.smil
江西六套标清,rtsp://171.35.195.55:554/PLTV/88888888/224/3221226947/10000100000000060000000000527280_0.smil
江西七套标清,rtsp://171.35.195.54:554/PLTV/88888888/224/3221226945/10000100000000060000000000527282_0.smil
江西六套标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226947/10000100000000060000000000527280_0.smil
江西七套标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226945/10000100000000060000000000527282_0.smil

中国教育1台,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227044/10000100000000060000000000571119_0.smil
CETV-1标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226979/10000100000000060000000000568694_0.smil
CETV-2标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227289/10000100000000060000000001945784_0.smil
CETV-4标清,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226985/10000100000000060000000000568688_0.smil
金鹰纪实,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227039/10000100000000060000000000570897_0.smil
